espèce source,interaction,espèce cible,source,poids,commentaire
aneth,favorise,chou-rave,"Favorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007'",1.0,
aneth,favorise,choux,"Favorise d'après 'Xavier Gerbeaud. Légumes bons voisins', Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'The Encyclopedia of Organic Gardening. J.I. Rodale (editor)', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Favorise d'après 'Plantes amies, ennemies', Favorise d'après 'Companion planting', Favorise d'après 'Le potager de Marie', Favorise d'après 'Companion gardening', Favorise d'après 'IDEP Foundation', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008', Défavorise d'après 'Companion Planting  The Natural Way to Gardening', Favorise d'après 'Les cultures associées. Pirlet, Marisa & Guy, Nature & Progrès, 2007', Défavorise d'après 'ATTRA. National Sustainable Agriculture Information Service'",11.0,
aneth,favorise,concombre,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Le potager de Marie', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'IDEP Foundation', Favorise d'après 'Wikipedia. Article ""Culture associée""', Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.', Favorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",9.0,
aneth,favorise,coriandre,Favorise d'après 'IDEP Foundation',1.0,
aneth,favorise,cornichon,"Favorise d'après 'Le potager de Marie', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",2.0,
aneth,favorise,céleris,"Favorise d'après 'Sustainable Gardening Australia', Favorise d'après 'IDEP Foundation'",2.0,
aneth,favorise,endive,"Favorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3'",1.0,
aneth,favorise,fenouil,Favorise d'après 'IDEP Foundation',1.0,
aneth,favorise,fève fèverole,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",3.0,
aneth,favorise,haricots,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.'",4.0,
aneth,favorise,laitue,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.', Favorise d'après 'Ekopedia : cultures associées'",3.0,
aneth,favorise,maïs,Favorise d'après 'Companion planting',1.0,
aneth,favorise,navet,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",2.0,
aneth,favorise,oignon,"Favorise d'après 'Ekopedia : cultures associées', Favorise d'après 'Anne Maurel. Les associations favorables en jardinage biologique.', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Le poireau préfère les fraises. Wagner Hans, Terre Vivante, 2001. ISBN 2-904082-88-3', Favorise d'après 'Companion planting', Favorise d'après 'Wikipedia. Article ""Culture associée""', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",7.0,
aneth,défavorise,panais,"Favorise d'après 'IDEP Foundation', Défavorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Défavorise d'après 'Jardiner avec la lune. Hopes Fiona, Marabout, 2008'",1.0,
aneth,favorise,piment,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019'",1.0,
aneth,favorise,poireau,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019'",1.0,
aneth,favorise,poivron,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019'",1.0,
aneth,favorise,pomme de terre,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019'",1.0,
aneth,favorise,radis,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019'",1.0,
aneth,favorise,scarole,"Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Les bonnes associations au potager. Vialard Noémie, Éditions Rustica, 2007'",2.0,
aneth,favorise,tomate,"Favorise d'après 'Le potager de Marie', Favorise d'après 'IDEP Foundation', Favorise d'après 'Potager et la lune. Associations favorables ou défavorables au potager', Favorise d'après 'Vivre avec la Terre. Charles Hervé-Gruyer, Perrine Hervé-Gruyer. Actes Sud. 2019', Favorise d'après 'Sustainable Gardening Australia', Défavorise d'après 'Companion planting'",4.0,
anis,défavorise,absinthe,Défavorise d'après 'Le Monde',1.0,
anis,défavorise,armoise,"Défavorise d'après 'Ecological Agriculture Projects, McGill University'",1.0,
anis,favorise,choux,Favorise d'après 'Le potager de Marie',1.0,
anis,favorise,coriandre,"Favorise d'après 'Plantes amies, ennemies', Favorise d'après 'Ekopedia : cultures associées'",2.0,
anis,favorise,haricots,Favorise d'après 'Ekopedia : cultures associées',1.0,
arbres fruitiers,favorise,achillée,Favorise d'après 'IDEP Foundation',1.0,
