Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
Oseille,Sorrel,Polygonaceae,Rumex acetosa L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Soja,Soybean,Fabaceae,Glycine max L.,,Cereals,
Epeautre,Spelt,Poaceae,Triticum spelta L.,,Cereals,
Epinard,Spinach,Amaranthaceae,Spinacia oleracea L.,Vegetable,Vegetables,Leaf vegetables
Euphorbe,Spurge,Euphorbiaceae,Euphorbia antiquorum L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Courges ,Squash,Cucurbitaceae ,Cucurbita maxima Duchesne,Vegetable,Vegetables,Fruiting vegetables
"Courge, Citrouille, Potiron","Squash (pumpkins, butternut, etc.)",Cucurbitaceae ,,,Vegetables,
"Citrouille, Potiron et Courges ",Squash(s),Cucurbitaceae ,Cucurbita maxima Duchesne,Vegetable,Vegetables,Fruiting vegetables
Fraise,Strawberry,Rosaceae,Fragaria × ananassa (Weston),Berries,Shrubs & Berries,Fruiting vegetables
Tournesol,Sunflower,Asteraceae,Helianthus annuus L.,,Cereals,
Maïs Doux ,Sweet corn,Poaceae,Zea mays L.,Vegetable,Vegetables,Fruiting vegetables
Poivron,Sweet pepper,Solanaceae,Capsicum annuum L.,Vegetable,Vegetables,Fruiting vegetables
Patate douce,Sweet potato,Convolvulaceae,Ipomoea batatas L. Lam.,,Vegetables,
Basilic,Sweet_basil,Lamiaceae,Ocimum basilicum L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Maïs Doux ,Sweet_corn,Poaceae,Zea mays L.,Vegetable,Vegetables,Fruiting vegetables
Raisin,Table grape,Vitaceae,Vitis vinifera,Fruit,Fruits,Miscellaneous
Raisin de Table ,Table grape,Vitaceae,Vitis vinifera,Fruit,Fruits,Miscellaneous
Vigne,Table grape,Vitaceae,Vitis vinifera,Fruit,Fruits,Miscellaneous
Tanaisie,Tansy,Asteraceae,Tanacetum vulgare L.,,"Medicinal, Aromatic Plants, Flowers & Others",
,Taro,Araceae,Colocasia esculenta (L.) Schott,,,
Estragon,Tarragon,Asteraceae,Artemisia dracunculus,,"Medicinal, Aromatic Plants, Flowers & Others",
Tétragone,Tetragonia,Aizoaceae,Tetragonia (genus),,"Medicinal, Aromatic Plants, Flowers & Others",
Thym,Thymus,Lamiaceae,Thymus vulgaris,,"Medicinal, Aromatic Plants, Flowers & Others",
Tomate,Tomato,Solanaceae,Solanum lycopersicum L.,Vegetable,Vegetables,Fruiting vegetables
Tomate cerise,Tomato (cherry),Solanaceae,Solanum lycopersicum L.,Vegetable,Vegetables,Fruiting vegetables
