Crop_fr,Crop_en,Crop_family,Latin_name,Crop_type_Pennington_2009,Crop_type_RP,Crop_function_CTIFL
Phacélie,Phacelia,Hydrophyllaceae,Phacelia (genus),,"Medicinal, Aromatic Plants, Flowers & Others",
Cornichon,Pickled cucumber,Cucurbitaceae ,Cucumis anguria,Vegetable,Vegetables,Fruiting vegetables
Pois d'Angole,Pigeon pea,Fabaceae,Cajanus cajan L. Millsp.,,Vegetables,
Prune,Plum,Rosaceae,Prunus domestica,Fruit,Fruits,Stone fruits
Prunes Autres ,Plum (others),Rosaceae,Prunus domestica,Fruit,Fruits,Stone fruits
Peuplier,Poplar,Salicaceae,Populus L.,,,
Pomme de terre,Potato,Solanaceae,Solanum tuberosum,Vegetable,Vegetables,Root vegetables
Pomme de terre primeur,Potato (early),Solanaceae,Solanum tuberosum,Vegetable,Vegetables,Root vegetables
Pomme de terre conservation,Potato (Stor.),Solanaceae,Solanum tuberosum,Vegetable,Vegetables,Root vegetables
Citrouille,Pumpkin,Cucurbitaceae ,Cucurbita pepo L. var. pepo,Vegetable,Vegetables,Fruiting vegetables
Radis,Radish,Brassicaceae,Raphanus sativus L.,Vegetable,Vegetables,Root vegetables
Radis botte,Radish (fresh),Brassicaceae,Raphanus sativus L.,Vegetable,Vegetables,Root vegetables
Radis conservation,Radish (Stor.),Brassicaceae,Raphanus sativus L.,Vegetable,Vegetables,Root vegetables
Framboise,Raspberry,Rosaceae,Rubus idaeus,Berries,Shrubs & Berries,Berries
,Rattan grass,Poaceae,Vulpia myuros L.,,,
Trèfle rouge,Red clover,Fabaceae,Trifolium pratense L.,,"Medicinal, Aromatic Plants, Flowers & Others",
Rhubarbe,Rhubarb,Polygonaceae,Polygonaceae,,Vegetables,
,Rice,Poaceae,Oryza sativa L.,,,
,Rice bean,Fabaceae,Vigna umbellata (Thunb.) Ohwi & H. Ohashi,,,
Roquette,Rocket,Brassicaceae,Eruca sativa Mill.,,Vegetables,
Chou romanesco,Romanesco broccoli,Brassicaceae,Brassica oleracea var. botrytis,Vegetable,Vegetables,Leaf vegetables
,Root parsley,Apiaceae,Petroselinum crispum var. tuberosum,,,
Rosier,Rose,Rosaceae,Rosa (genus),,"Medicinal, Aromatic Plants, Flowers & Others",
